id,name,ostan,shahrestan,bakhsh
192,امامزاده جعفر,23,348,693
193,امامزاده حمزه علی,9,70,88
194,امامزاده سیدمحمود,13,177,393
195,امامزاده عبدالعزیز,4,37,162
196,امامزاده عبدالله جنوبی,27,297,262
197,امامزاده عبدالله شمالی,27,297,262
198,امامزاده محمد,17,321,229
199,امان آباد,28,19,779
200,امجز,21,286,632
201,املش جنوبی,25,42,584
202,املش شمالی,25,42,584
203,امیرآباد,21,24,404
204,امیرآباد,20,324,1008
205,امیریه,28,19,779
206,اناج,28,163,441
207,اناران,6,189,686
208,انارستان,17,321,194
209,انارستان,7,129,291
210,انجیرآب,24,350,756
211,انجیرلو,3,98,742
212,اندوهجرد,21,328,390
213,انده,16,402,911
214,انزان شرقی,24,81,754
215,انزان غربی,24,81,754
216,انزل جنوبی,2,26,51
217,انزل شمالی,2,26,51
218,انصار,2,118,615
219,انگالی,7,87,696
220,انگوت شرقی,3,353,52
221,انگوت غربی,3,353,52
222,انگوران,14,372,53
223,انی,3,353,744
224,اوباتو,20,192,474
225,اوجان شرقی,1,71,145
226,اوجان غربی,1,71,802
227,اوچ تپه شرقی,1,400,799
228,اوچ تپه غربی,1,400,137
229,اوچ هاچا,1,47,794
230,اورامان تخت,20,240,54
231,اوریاد,14,372,946
232,اوزرود,27,413,89
233,اوشیان,25,212,180
234,اولتان,3,100,745
235,اولی,7,190,700
236,اهرم,7,120,697
237,اهلمرستاق جنوبی,27,375,599
238,اهلمرستاق شمالی,27,375,599
239,ایپک,5,34,962
240,ایتیوندجنوبی,26,181,461
241,ایتیوندشمالی,26,181,461
242,ایثار,31,147,996
243,ایج,17,28,855
244,ایجرودبالا,14,49,943
245,ایجرودپایین,14,49,211
246,ایرافشان,16,395,11
247,ایرندگان,16,148,56
248,ایزدخواست,17,2,854
249,ایزدخواست شرقی,17,220,57
250,ایزدخواست غربی,17,220,57
251,ایسین,29,80,720
252,ایل تیمور,2,88,613
253,ایل گورک,2,88,613
254,ایلات قاقازان شرقی,18,312,508
255,ایلات قاقازان غربی,18,312,508
256,ایوانکی,15,351,59
257,ایواوغلی,2,166,60
258,ییلاق جنوبی,20,188,87
259,ییلاق شمالی,20,188,676
260,باباافضل,4,322,79
261,باباامان,12,64,766
262,بابارشانی,20,96,197
263,بابل کنار,27,54,62
264,بابلرود,27,55,598
265,بابویی,23,57,101
266,باراندوز,2,26,604
267,باراندوزچای جنوبی,2,26,604
268,باراندوزچای شمالی,2,26,604
269,بارز,9,365,1006
270,باروق,1,426,805
271,باروق,2,398,64
272,باریک رود جنوبی,27,297,964
273,باریک رود شمالی,27,297,964
274,بازان,22,130,821
275,بازرجان,28,117,781
276,بازفت بالا,9,342,66
277,بازفت پایین,9,342,66
278,بازکیاگوراب,25,364,582
